Unnamed: 0,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,review_year,review_month,availability_category
3,35780,Spacious one bedroom at The Kris Condo Bldg. 3,153730,Sirilak,Din Daeng,13.78823,100.57256,Private room,1286,7,2,2022-04-01,0.03,1,323,1,2022.0,4,Very High (271-365 days)
11,1765918,2BR apt in a cozy neighborhood,9279712,Jing,Phaya Thai,13.77486,100.54272,Entire home/apt,1893,15,129,2022-09-30,1.17,1,356,1,2022.0,9,Very High (271-365 days)
19,1793000,The Duplex - Asoke- Luxury 92sqm,9407280,Timo,Vadhana,13.74668,100.56137,Entire home/apt,5034,21,287,2022-11-22,2.59,1,349,3,2022.0,11,Very High (271-365 days)
28,145343,Boutique Rooms Near Bangkok Airport,703944,Parinya,Lat Krabang,13.721868,100.771713,Private room,1329,1,28,2022-11-25,0.28,1,349,13,2022.0,11,Very High (271-365 days)
30,156583,Studio near Chula University/Silom walk to MRT/BTS,58920,Gael,Bang Rak,13.7285,100.52313,Entire home/apt,1176,7,63,2022-11-25,0.47,2,95,2,2022.0,11,Moderat (91-180 days)
32,159854,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,766443,Gerd,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,2022-12-08,1.58,3,207,7,2022.0,12,High (181-270 days)
33,976690,Beautiful 1 BR apartment @BTS Ari,5344120,Nattavut,Phaya Thai,13.77931,100.54262,Entire home/apt,1400,15,90,2022-11-15,0.77,4,336,2,2022.0,11,Very High (271-365 days)
35,166267,1Bed apt. near Chula University/Silom,58920,Gael,Bang Rak,13.72733,100.52555,Entire home/apt,1843,7,71,2022-11-30,0.54,2,156,5,2022.0,11,Moderat (91-180 days)
41,1862089,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,2022-12-07,3.77,37,355,1,2022.0,12,Very High (271-365 days)
43,988373,BangLuang House 2@ Bangkok Thailand,5325919,วสวัตติ์,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795,1,95,2022-12-15,0.8,3,339,10,2022.0,12,Very High (271-365 days)
